uid,Formula,alpha_R,E_pfrac_VBM,E_pfrac_CBM,radius_mean,max_mass,max_Z
60065d3bbcf2,Cr2Mo2Se8,1.173,0.1629753879269453,0.1203719765762379,1.3333333333333333,95.94,42
62bb754c4cb2,Cr2W2Te8,1.535,0.2157043936857912,0.1016518741458471,1.3833333333333335,183.84,74
644f7c1c85c7,CrMo3S8,1.46,0.1854065113491833,0.1518783583282624,1.2833333333333332,95.94,42
6523c349753c,WCr3Te8,0.99,0.1806309371731511,0.0927822494170908,1.3833333333333335,183.84,74
671e6de2497a,AsBrTe,0.694,0.927546211775732,0.909375314729425,1.2333333333333332,127.6,52
6e2a4c6f4f57,SeTeW,1.394,0.2588201614869204,0.1379246426011634,1.3,183.84,74
70cbc0e44d36,BiISe,2.089,0.9060614974704904,0.9184150831842453,1.3833333333333335,208.9804,83
70e7ab872359,HfZr3Se8,0.95,0.8422121530840236,0.1814864790882361,1.4166666666666667,178.49,72
72b286460831,Cr2Mo2S8,1.344,0.1786805448398726,0.1411907674565237,1.2833333333333332,95.94,42
75ee10091f43,STeW,3.947,0.293574412341913,0.1498061527142361,1.25,183.84,74
7a8373382b33,S2Sn2,4.469,0.7185895220588732,0.8186754780085288,1.225,118.71,50
7fe9c5cb910c,BiClSe,0.746,0.9114345157094904,0.93294310439798,1.25,208.9804,83
81af2831dbb2,Hf2Zr2Se8,0.698,0.8295197197316269,0.190363806457994,1.4166666666666667,178.49,72
82b85dfd7723,P2Sb2Te6,2.596,0.8244461820584097,0.8318788232153959,1.2833333333333334,127.6,52
846b50801a93,Ti2Zr2Se8,1.767,0.7638579163771706,0.1319633735503248,1.3666666666666665,91.224,40
899032b4ad0c,MoCr3Te8,1.409,0.1895688272224866,0.1019344113918172,1.4166666666666667,127.6,52
916afba26723,STeW,3.622,0.2260818398707595,0.3590873032806925,1.25,183.84,74
961c37d6e527,MoCr3Se8,0.977,0.158679447921649,0.1159971336328279,1.3333333333333333,95.94,42
968a6902b7f5,BiClTe,1.175,0.901195181671016,0.9106283567992832,1.3333333333333333,208.9804,83
988b11badabb,Cr2Mo2Te8,1.105,0.2124826412893839,0.1041993926048926,1.4166666666666667,127.6,52
99fd027b1d0b,BiClS,0.461,0.909282666768928,0.9372956282273632,1.2,208.9804,83
9c2979187585,WMo3S8,1.816,0.2052901218121179,0.207664962128622,1.2666666666666666,183.84,74
a0dbdc6630fa,PbSe,1.603,0.9241098190833938,0.7879851211433209,1.475,207.2,82
a148361e5e9a,TiZr3Se8,1.321,0.8026965681371502,0.1449765152582613,1.3666666666666665,91.224,40
a1d716aad84d,Mo2W2Se8,1.784,0.2050796246622059,0.1834049364521039,1.3166666666666669,183.84,74
a7233837cfe9,CrMo3Se8,1.311,0.2003083671083162,0.1477262102974496,1.3333333333333333,95.94,42
a80866a2c6b4,BiClSe,3.032,0.8702984144182764,0.9014430142409324,1.25,208.9804,83
a84d988e38ac,BiITe,0.467,0.934812594962855,0.9417767775687268,1.4666666666666668,208.9804,83
a9f87eba4b96,CrW3S8,1.909,0.1919601306899144,0.1713770613500185,1.25,183.84,74
aa9a981d89aa, ,4.457,0.8340700960545168,0.8638507706444664,1.25,208.9804,83
acdcd16c0d76,BiIS,1.858,0.903623557863302,0.9238137730702656,1.3333333333333333,208.9804,83
b13beafa16aa,AsIS,2.033,0.8936670822854337,0.8952076420903963,1.1833333333333331,126.90447,53
b8fb10416122,ZrHf3Se8,0.725,0.8326247051860165,0.2009389569933805,1.4166666666666667,178.49,72
badda86cab42,BiClTe,1.458,0.9359477403697092,0.9378360161127248,1.3333333333333333,208.9804,83
c04fc052f2ca,Mo2W2Te8,1.645,0.2958079752151466,0.1399480237647956,1.3999999999999997,183.84,74
