model,best_params,KF_Acc,KF_Prec,KF_Rec,KF_F1,KF_AUC,LOO_Acc,LOO_Prec,LOO_Rec,LOO_F1,LOO_AUC,csv,threshold,n_features,n_pos,n_neg
SVM_Linear,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__kernel': 'linear'}",0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.4778481012658228,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.3613924050632911,best_combo_1_w10_radius_mean_max_mass_max_Z,1.0,5,79,20
LogisticRegression,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.5025316455696203,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.3006329113924051,best_combo_1_w10_radius_mean_max_mass_max_Z,1.0,5,79,20
LogisticRegression,"{'clf__C': 1.0, 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8181818181818182,0.8210526315789474,0.9873417721518988,0.896551724137931,0.699367088607595,0.797979797979798,0.8041237113402062,0.9873417721518988,0.8863636363636364,0.6791139240506329,best_combo_5_w10_radius_mean_radius_diff,1.0,4,79,20
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 9, 'clf__weights': 'distance'}",0.8181818181818182,0.8210526315789474,0.9873417721518988,0.896551724137931,0.6417721518987343,0.797979797979798,0.8172043010752689,0.9620253164556962,0.8837209302325582,0.5873417721518988,best_combo_3_w10_radius_mean_max_Z4_max_Z,1.0,5,79,20
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 9, 'clf__weights': 'distance'}",0.8181818181818182,0.8210526315789474,0.9873417721518988,0.896551724137931,0.6436708860759492,0.797979797979798,0.8172043010752689,0.9620253164556962,0.8837209302325582,0.5841772151898734,best_combo_1_w10_radius_mean_max_mass_max_Z,1.0,5,79,20
DecisionTree,"{'clf__class_weight': 'balanced', 'clf__max_depth': 7, 'clf__min_samples_split': 2}",0.8484848484848485,0.9102564102564102,0.8987341772151899,0.9044585987261147,0.7784810126582278,0.8181818181818182,0.9066666666666666,0.8607594936708861,0.8831168831168831,0.7677215189873418,best_combo_5_w10_radius_mean_radius_diff,1.0,4,79,20
GradientBoosting,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8484848484848485,0.8823529411764706,0.8955223880597015,0.8888888888888888,0.8605410447761194,0.8383838383838383,0.8695652173913043,0.8955223880597015,0.8823529411764706,0.8852611940298507,best_combo_3_w10_radius_mean_max_Z4_max_Z,1.25,5,67,32
GradientBoosting,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8484848484848485,0.8823529411764706,0.8955223880597015,0.8888888888888888,0.8563432835820896,0.8383838383838383,0.8695652173913043,0.8955223880597015,0.8823529411764706,0.8843283582089552,best_combo_2_w10_radius_mean_max_mass_max_Z4,1.25,5,67,32
GradientBoosting,"{'clf__learning_rate': 0.2, 'clf__max_depth': 5, 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.8686868686868687,0.8857142857142857,0.9253731343283582,0.9051094890510949,0.8215951492537312,0.8383838383838383,0.8695652173913043,0.8955223880597015,0.8823529411764706,0.8563432835820896,best_combo_5_w10_radius_mean_radius_diff,1.25,4,67,32
GradientBoosting,"{'clf__learning_rate': 0.2, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.8686868686868687,0.8970588235294118,0.9104477611940298,0.9037037037037037,0.8556436567164178,0.8383838383838383,0.8695652173913043,0.8955223880597015,0.8823529411764706,0.8544776119402986,best_combo_4_w10_radius_mean_max_mass,1.25,4,67,32
