Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE
O2Rh2,740bf2751050,P-6m2 (187),0.246,0.057,V,K,0.057,0.229
O2Rh2,740bf2751050,P-6m2 (187),0.246,0.057,C,K,0.014,1.062
BrIZr,28c61999c692,P3m1 (156),0.038,0.782,V,K,0.1,0.0
BrIZr,28c61999c692,P3m1 (156),0.038,0.782,C,K,0.022,0.724
ClSbSe,0c0fbdaf8f4a,P3m1 (156),0.014,1.177,V,K,0.065,0.311
ClSbSe,0c0fbdaf8f4a,P3m1 (156),0.014,1.177,C,K,0.261,1.795
HgI2,0ff7ee261fec,P-6m2 (187),0.183,0.666,V,K,0.159,0.473
HgI2,0ff7ee261fec,P-6m2 (187),0.183,0.666,C,K,0.333,0.31
ClSbTe,da5fd2bb47af,P3m1 (156),0.008,1.291,V,K,0.148,0.324
ClSbTe,da5fd2bb47af,P3m1 (156),0.008,1.291,C,K,0.208,1.333
AsB,b6e76caa350b,P-6m2 (187),0.467,0.752,V,K,0.002,0.0
AsB,b6e76caa350b,P-6m2 (187),0.467,0.752,C,K,0.003,0.0
ZrI2,9c024b5a2e89,P-6m2 (187),0.027,0.698,V,K,0.122,0.0
ZrI2,9c024b5a2e89,P-6m2 (187),0.027,0.698,C,K,0.026,0.586
P2Sn2Se6,a056ab5346bf,P1 (1),0.015,0.722,V,H,0.002,0.779
P2Sn2Se6,a056ab5346bf,P1 (1),0.015,0.722,V,H1,0.002,0.779
STeZr,3f3c7bc0ce7d,P3m1 (156),0.122,0.218,V,K,0.001,1.067
STeZr,3f3c7bc0ce7d,P3m1 (156),0.122,0.218,C,K,0.133,0.386
Se2Zr2,f89b20d72c95,P-6m2 (187),0.436,0.06,V,K,0.046,1.201
Se2Zr2,f89b20d72c95,P-6m2 (187),0.436,0.06,C,K,0.039,0.51
In2Se2,eb204c739879,P-6m2 (187),0.0,1.399,V,K,0.092,1.06
In2Se2,eb204c739879,P-6m2 (187),0.0,1.399,C,K,0.021,1.148
Se2Zn2,90835c470691,Cm (8),0.245,1.61,V,H,0.003,0.089
Se2Zn2,90835c470691,Cm (8),0.245,1.61,V,H1,0.003,0.089
BrClZr,8cb69386d06b,P3m1 (156),0.01,0.912,V,K,0.059,0.0
BrClZr,8cb69386d06b,P3m1 (156),0.01,0.912,C,K,0.008,0.987
S2Sc2,e9d256b367c7,P-6m2 (187),0.627,0.384,V,K,0.004,0.141
S2Sc2,e9d256b367c7,P-6m2 (187),0.627,0.384,C,K,0.008,0.326
HfSSe,9afb20358166,P3m1 (156),0.193,0.91,V,K,0.035,0.541
HfSSe,9afb20358166,P3m1 (156),0.193,0.91,C,K,0.292,0.712
P2Ru2S6,9caed1a0620c,P1 (1),0.179,0.322,V,H,0.047,0.129
P2Ru2S6,9caed1a0620c,P1 (1),0.179,0.322,V,H1,0.047,0.129
BiITe,2d41b3dd1772,P3m1 (156),0.0,0.701,V,K,0.01,0.567
BiITe,2d41b3dd1772,P3m1 (156),0.0,0.701,C,K,0.307,1.569
Rh2Cl6,06f695e97385,P321 (150),0.464,0.208,C,K,0.002,0.0
BaBr2,1a59eff92917,P-6m2 (187),0.167,4.149,V,K,0.02,0.11
BaBr2,1a59eff92917,P-6m2 (187),0.167,4.149,C,K,0.042,0.148
Ir2O2,06ebe3806790,P-6m2 (187),0.51,0.099,V,K,0.302,0.36
Ir2O2,06ebe3806790,P-6m2 (187),0.51,0.099,C,K,0.207,0.639
BiBrSe,11db0908d9ef,P3m1 (156),0.111,1.385,V,K,0.057,0.403
BiBrSe,11db0908d9ef,P3m1 (156),0.111,1.385,C,K,0.557,0.396
Te2V2,5da53e6996e3,P-6m2 (187),0.49,0.22,V,K,0.013,0.434
Te2V2,5da53e6996e3,P-6m2 (187),0.49,0.22,C,K,0.068,0.038
P2Sb2Te6,82b85dfd7723,P1 (1),0.14,0.633,V,H,0.003,0.673
P2Sb2Te6,82b85dfd7723,P1 (1),0.14,0.633,V,H1,0.003,0.673
P2Sb2Te6,82b85dfd7723,P1 (1),0.14,0.633,C,H,0.001,0.073
P2Sb2Te6,82b85dfd7723,P1 (1),0.14,0.633,C,H1,0.001,0.073
PbBr2,cbdc15b42a05,P-6m2 (187),0.082,2.662,V,K,0.136,0.022
PbBr2,cbdc15b42a05,P-6m2 (187),0.082,2.662,C,K,0.631,0.119
Al2P2S6,669d6f1af4d4,P1 (1),0.083,1.301,C,H,0.002,0.021
Al2P2S6,669d6f1af4d4,P1 (1),0.083,1.301,C,H1,0.002,0.021
ISbSe,343d2125478e,P3m1 (156),0.13,1.078,V,K,0.034,0.711
ISbSe,343d2125478e,P3m1 (156),0.13,1.078,C,K,0.028,0.171
