Formula,uid,kpath,band,Rashba_parameter,ehull,bandgap,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_afs_gauss_std,kpath_angle_deg,max_Z4,max_Z,max_mass,pmid_grdf_trig_max,band_binary,radius_diff,n_elements,kpath_real_distance,E_pfrac_relevant
HfTi3Se8,c55716558616,S->Y,V,1.191,0.137,0.589,0.7409042099373613,0.1172884570017979,1.3666666666666665,1.606444877477826,180.0,26873856,72,178.49,-5.518753232956513,0,0.4000000000000001,3,0.4429393083016168,0.7409042099373613
WCr3Se8,c798e725e2fb,X->G,V,1.16,0.009,0.698,0.1467562156481204,0.1196259650218804,1.3,2.946532368703589,180.0,29986576,74,183.84,-7.421360918326534,0,0.25,3,0.4838860737463775,0.1467562156481204
BiClS,c96ef4fc869c,G->K,C,1.181,0.0,1.334,0.8399466536166024,0.9094579449330604,1.2,0.0007471850235111,59.99999998775802,47458321,83,208.9804,-1.6073981053740565,1,0.6000000000000001,3,1.0296332609556476,0.9094579449330604
Hf2Ti2Se8,cce78d90e899,S->Y,V,1.409,0.156,0.656,0.7652933296496389,0.1370649042205264,1.3666666666666665,1.0748969259127437,-130.82723326206678,26873856,72,178.49,-4.508031065370729,0,0.4000000000000001,3,0.6894926332284319,0.7652933296496389
Bi2P2Te6,cf7927ab6730,G->Y,C,1.814,0.14,0.507,0.8519428236956959,0.8422307722599669,1.3333333333333333,0.5918194214520243,90.00000000000001,47458321,83,208.9804,-5.299368183687756,1,0.6000000000000001,3,0.4701919578107924,0.8422307722599669
SeSn,d59c96fdfda1,M->K,V,0.873,0.098,2.156,0.8617318463089176,0.772294966413053,1.2999999999999998,0.0,119.9999999735,6250000,50,118.71,-0.9211098744428414,0,0.3,2,0.5360883575173945,0.8617318463089176
ClSbTe,da5fd2bb47af,M->G,V,2.891,0.008,1.291,0.8418724917890628,0.8448925848104843,1.2833333333333332,0.0002165302110698,-149.99999999664146,7311616,52,127.6,-1.536200247079298,0,0.4499999999999999,3,0.864844264440327,0.8418724917890628
WCr3S8,dc4259e69783,X->G,V,1.317,0.009,0.887,0.134076482189789,0.1114644811375034,1.25,3.833981866419253,180.0,29986576,74,183.84,-8.030008719758085,0,0.3999999999999999,3,0.5082769606129934,0.134076482189789
BiBrSe,de5756e4fbfa,G->M,V,2.784,0.0,1.03,0.8708858861095728,0.9086603729103896,1.3,0.0012482141592709,29.999999951474244,47458321,83,208.9804,-1.4344881772579616,0,0.4500000000000002,3,0.8660743858015657,0.8708858861095728
ISbSe,df0019ec24b5,M->K,V,2.431,0.0,1.061,0.8444249438246081,0.8702194028528185,1.3333333333333333,0.001885196535515,120.00000004774289,7890481,53,126.90447,-1.3390300966537332,0,0.3,3,0.5025132594315503,0.8444249438246081
SnTe,e688959ea45b,M->K,V,0.806,0.119,1.592,0.9092975411969436,0.7702073113614514,1.4249999999999998,0.0,119.99999994329718,7311616,52,127.6,-0.979869903702334,0,0.05,2,0.501918842563446,0.9092975411969436
GeTe,eadd37f03ca5,M->K,V,0.952,0.087,1.488,0.9154990873691008,0.7472070142516989,1.325,0.0,119.99999998974371,7311616,52,127.6,-0.9280087176869792,0,0.1499999999999999,2,0.5311067854214876,0.9154990873691008
CrW3Te8,eef072f845ce,X->G,V,1.592,0.056,0.563,0.2267102691969866,0.1224285422660796,1.3833333333333335,1.5251605549995362,180.0,29986576,74,183.84,-5.531289037505022,0,0.0499999999999998,3,0.4441904140495213,0.2267102691969866
BrSbTe,f1e78a09001d,M->K,V,1.315,0.13,1.331,0.882771812071691,0.9164275283284804,1.3333333333333333,0.0076894500190178,120.00000004255,7311616,52,127.6,-1.7697417410307712,0,0.3,3,0.5094793582155445,0.882771812071691
BiBrTe,f4f45fcade85,M->K,V,0.498,0.117,0.916,0.9275593381609089,0.9381112972308486,1.3833333333333335,0.0065832957009888,120.00000005740532,47458321,83,208.9804,-1.7534460616403398,0,0.4500000000000002,3,0.4960869002361393,0.9275593381609089
ClSbSe,f705a30af945,M->K,V,1.483,0.146,1.68,0.8438826392372596,0.9143032462366278,1.2,0.0122234655218269,119.99999996677256,6765201,51,121.76,-1.8707371906356771,0,0.4499999999999999,3,0.5345228435310069,0.8438826392372596
AsClTe,fba4cc0df459,G->K,C,0.634,0.194,1.316,0.9271260695172412,0.9136992993085054,1.1833333333333331,0.0126639581169268,59.99999995613801,7311616,52,127.6,-1.8837798887421169,1,0.3999999999999999,3,1.0958219733293904,0.9136992993085054
