uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,A_WM_VBM,A_WM_CBM
75ee10091f43,STeW,3.947,W,Te,183.84,127.6,3,149.58772369250656,171.77859909161674
7a8373382b33,S2Sn2,4.469,Sn,S,118.71,32.065,2,63.92273405797101,99.29548540683763
7fe9c5cb910c,BiClSe,0.746,Bi,Se,208.9804,78.96,3,92.02474857881842,150.6633326889619
81af2831dbb2,Hf2Zr2Se8,0.698,Hf,Zr,178.49,91.224,3,89.79872401120055,121.20899980479498
82b85dfd7723,P2Sb2Te6,2.596,Te,Sb,127.6,121.76,3,116.15571508070452,102.08912440913907
846b50801a93,Ti2Zr2Se8,1.767,Zr,Se,91.224,78.96,3,75.34152232248144,63.03313644757343
899032b4ad0c,MoCr3Te8,1.409,Te,Mo,127.6,95.94,3,64.69270440827482,57.96176939221634
916afba26723,STeW,3.622,W,Te,183.84,127.6,3,162.50006655554472,160.28752819680386
961c37d6e527,MoCr3Se8,0.977,Mo,Se,95.94,78.96,3,59.912818868962475,54.36009779909375
968a6902b7f5,BiClTe,1.175,Bi,Te,208.9804,127.6,3,142.17189975903548,164.86619801019367
988b11badabb,Cr2Mo2Te8,1.105,Te,Mo,127.6,95.94,3,74.03590037466961,60.2162667776907
99fd027b1d0b,BiClS,0.461,Bi,Cl,208.9804,35.453,3,65.41251924042528,144.6859005235936
9c2979187585,WMo3S8,1.816,W,Mo,183.84,95.94,3,100.72739026336794,95.68563339240679
a0dbdc6630fa,PbSe,1.603,Pb,Se,207.2,78.96,2,104.57794533030908,161.9327544900859
a148361e5e9a,TiZr3Se8,1.321,Zr,Se,91.224,78.96,3,78.33901889395392,72.30704249196918
a1d716aad84d,Mo2W2Se8,1.784,W,Mo,183.84,95.94,3,125.45312252964426,113.68238278931749
a7233837cfe9,CrMo3Se8,1.311,Mo,Se,95.94,78.96,3,77.3344898269144,70.94794019524376
a80866a2c6b4,BiClSe,3.032,Bi,Se,208.9804,78.96,3,98.7962092644389,155.73129925068108
a84d988e38ac,BiITe,0.467,Bi,Te,208.9804,127.6,3,133.32969883302653,170.44643634588545
a9f87eba4b96,CrW3S8,1.909,W,Cr,183.84,51.9961,3,111.30564086705745,91.20546014639827
aa9a981d89aa, ,4.457,Bi,Se,208.9804,78.96,3,83.94383893354006,119.00713432110166
acdcd16c0d76,BiIS,1.858,Bi,I,208.9804,126.90447,3,105.89905935235097,158.47442057546152
b13beafa16aa,AsIS,2.033,I,As,126.90447,74.9216,3,88.5643633448035,84.99292079525262
b8fb10416122,ZrHf3Se8,0.725,Hf,Zr,178.49,91.224,3,93.97079354113592,139.10976589147288
badda86cab42,BiClTe,1.458,Bi,Te,208.9804,127.6,3,136.30151234156102,159.87306152396184
c04fc052f2ca,Mo2W2Te8,1.645,W,Te,183.84,127.6,3,134.02809829509576,124.26749899275636
c55716558616,HfTi3Se8,1.191,Hf,Se,178.49,78.96,3,78.35946553246787,64.06760113944618
c798e725e2fb,WCr3Se8,1.16,W,Se,183.84,78.96,3,68.34936030212047,55.78390724338462
c96ef4fc869c,BiClS,1.181,Bi,Cl,208.9804,35.453,3,67.30128829944884,151.56765333247782
cce78d90e899,Hf2Ti2Se8,1.409,Hf,Se,178.49,78.96,3,85.95006841415169,79.75194668407254
cf7927ab6730,Bi2P2Te6,1.814,Bi,Te,208.9804,127.6,3,121.99165032151731,132.523089324226
d59c96fdfda1,SeSn,0.873,Sn,Se,118.71,78.96,2,91.70971123276267,101.280680094134
da5fd2bb47af,ClSbTe,2.891,Te,Sb,127.6,121.76,3,102.80879896757679,117.68600320673082
dc4259e69783,WCr3S8,1.317,W,Cr,183.84,51.9961,3,64.79529941354971,53.53767843882408
de5756e4fbfa,BiBrSe,2.784,Bi,Br,208.9804,79.904,3,102.87522690027072,156.35710858405992
df0019ec24b5,ISbSe,2.431,I,Sb,126.90447,121.76,3,102.76493598255331,116.70793072120276
e688959ea45b,SnTe,0.806,Te,Sn,127.6,118.71,2,125.37263338513102,122.16169802879173
eadd37f03ca5,GeTe,0.952,Te,Ge,127.6,72.64,2,110.83378369951778,93.56767142149215
eef072f845ce,CrW3Te8,1.592,W,Te,183.84,127.6,3,122.5226282331315,107.79359577880805
f1e78a09001d,BrSbTe,1.315,Te,Sb,127.6,121.76,3,110.6597972593697,114.98478626627629
f4f45fcade85,BiBrTe,0.498,Bi,Te,208.9804,127.6,3,133.90827011079605,166.29185907832886
f705a30af945,ClSbSe,1.483,Sb,Se,121.76,78.96,3,73.62901486919098,88.08195913917973
fba4cc0df459,AsClTe,0.634,Te,As,127.6,74.9216,3,82.05436490809412,79.08945545867363
