uid,Formula,alpha_R,G_wm_h1_VBM,G_wm_h1_CBM,G_wm_h2_VBM,G_wm_h2_CBM
a84d988e38ac,BiITe,0.467,0.0,0.990428436018957,0.4031595576619272,0.2015797788309636
a9f87eba4b96,CrW3S8,1.909,138.87661119515892,33.09676248108925,33.16947377710541,11.484766414523447
aa9a981d89aa, ,4.457,6.210662489959848,1.007134457831325,15.79200000000002,0.3805301204819276
acdcd16c0d76,BiIS,1.858,0.16313848555815785,100.25190795631819,1.188800655737706,24.05443542121683
b13beafa16aa,AsIS,2.033,7.730961965517224,0.1460350632911393,0.8611678160919521,0.17243176064441892
b8fb10416122,ZrHf3Se8,0.725,282.16135710977255,10.659819444444455,37.52057063455296,2.196133333333336
badda86cab42,BiClTe,1.458,1.9455118696664109,0.0,5.543522110162926,0.0
c04fc052f2ca,Mo2W2Te8,1.645,156.0257504520796,257.5311392405062,41.22579867389996,29.611814345991533
c55716558616,HfTi3Se8,1.191,1.5044310656231175,58.6375090252708,4.325924142083078,32.87624548736465
c798e725e2fb,WCr3Se8,1.16,0.5531795386158475,1.9361283851554671,0.0,1.4255566700100306
c96ef4fc869c,BiClS,1.181,0.15831848484848526,25.330957575757555,0.026858333333333404,0.859466666666666
cce78d90e899,Hf2Ti2Se8,1.409,112.43040988547341,202.48232670283286,225.8855696202534,56.82835443037971
cf7927ab6730,Bi2P2Te6,1.814,3.1165262634631308,0.17299701986754965,12.685998342999167,0.21125827814569534
d59c96fdfda1,SeSn,0.873,0.41183000867302694,0.0,0.5478577623590635,0.06854166666666668
da5fd2bb47af,ClSbTe,2.891,18.58974358974362,16.97362893815638,14.191142191142212,30.68863477246212
dc4259e69783,WCr3S8,1.317,2.0994637537239345,1.3698956780923992,4.672936494538237,15.007319473422747
de5756e4fbfa,BiBrSe,2.784,86.63069945862323,124.67764204018552,37.75819334880118,12.720420401854717
df0019ec24b5,ISbSe,2.431,12.108604944237952,23.087818180693077,7.393110285006218,50.331485148514865
e688959ea45b,SnTe,0.806,1.3708146821844236,4.4551477170993765,0.2125514771709939,7.33302596239929
eadd37f03ca5,GeTe,0.952,12.503775100401619,0.9231511254019289,2.450506024096389,0.9926688102893886
eef072f845ce,CrW3Te8,1.592,25.130599369085175,210.8070662460568,3.7568874868559416,19.455310199789686
f1e78a09001d,BrSbTe,1.315,0.9071090047393339,5.449110320284708,0.43279620853080447,6.355207591933585
f4f45fcade85,BiBrTe,0.498,0.0,29.36492740046836,0.19921935987509776,11.355503512880551
f705a30af945,ClSbSe,1.483,5.478515185601788,0.13680898876404501,7.1055118110236055,0.08871910112359555
fba4cc0df459,AsClTe,0.634,22.191304347826055,0.0,9.605333333333322,0.16704927536231906
