csv,combo,n_features,LOO_R2,KFold_R2,LOO_MAE
desc_E_enhanced_w05_w10.csv,Wr + max_Z,9,0.45365979286110203,0.4198083475808777,0.4932826568092964
desc_E_enhanced_w05_w10.csv,Wr + max_Z4,9,0.45365979286110203,0.4198083475808777,0.4932826568092964
desc_E_enhanced_w05_w10.csv,radius_mean + max_Z4 + X_mean,7,0.4534722090105505,0.46080921281392107,0.5193409410919807
desc_E_enhanced_w05_w10.csv,radius_mean + max_Z + X_mean,7,0.4534722090105505,0.46080921281392107,0.5193409410919807
desc_E_enhanced_w05_w10.csv,radius_mean + X_diff + radius_diff,7,0.4533260988557247,0.4797610965564504,0.5085850147141351
desc_E_enhanced_w05_w10.csv,max_mass + Wr,9,0.4530434091023249,0.43225736710179297,0.4929607041725005
desc_E_enhanced_w05_w10.csv,max_Z + X_mean,6,0.4523044520993915,0.40465120318049097,0.5249453344248762
desc_E_enhanced_w05_w10.csv,max_Z4 + X_mean,6,0.4523044520993915,0.40465120318049097,0.5249453344248762
desc_E_enhanced_w05.csv,radius_mean + max_mass + Wr,6,0.4522389846220678,0.4805010087101911,0.523515939987067
desc_E_enhanced_w05_w10.csv,X_mean + radius_diff,6,0.45222646773759245,0.38922970870875584,0.5342042093325143
desc_E_enhanced_w05.csv,radius_mean + max_mass + X_mean,5,0.4520421451916754,0.48639933273564717,0.5183616439742271
desc_E_enhanced_w10.csv,max_Z4 + max_Z + radius_diff,5,0.4518896089557264,0.4101694889616154,0.5325317609237903
desc_E_enhanced_w05_w10.csv,max_mass + max_Z4,6,0.4517694849886752,0.42581899947682533,0.5013578474642051
