Formula,uid,Rashba_parameter,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_afs_gauss_std,kpath_angle_deg,ehull
AsISe,5d829e480507,1.626,0.8922939066570377,0.8797309545139917,1.2333333333333332,0.0044688300315145,120.00000000009142,0.0
PbS,5e4ff1f56b4a,1.241,0.8989011752508484,0.774841563510968,1.4,0.0,-150.00000001782004,0.231
Cr2Mo2Se8,60065d3bbcf2,1.173,0.1629753879269453,0.1203719765762379,1.3333333333333333,2.809348343827074,180.0,0.016
Cr2W2Te8,62bb754c4cb2,1.535,0.2157043936857912,0.1016518741458471,1.3833333333333335,1.6925072948691413,0.0,0.082
CrMo3S8,644f7c1c85c7,1.46,0.1854065113491833,0.1518783583282624,1.2833333333333332,3.4008998090369,180.0,0.011
WCr3Te8,6523c349753c,0.99,0.1806309371731511,0.0927822494170908,1.3833333333333335,1.804437740667562,180.0,0.097
AsBrTe,671e6de2497a,0.694,0.927546211775732,0.909375314729425,1.2333333333333332,0.0109743048528379,29.999999954309573,0.163
SeTeW,6e2a4c6f4f57,1.394,0.2588201614869204,0.1379246426011634,1.3,0.0046657804929235,-150.0000000328296,0.042
BiISe,70cbc0e44d36,2.089,0.9060614974704904,0.9184150831842453,1.3833333333333335,0.0011172221661371,60.00000000925636,0.0
HfZr3Se8,70e7ab872359,0.95,0.8422121530840236,0.1814864790882361,1.4166666666666667,1.1364134093862193,49.07480172352388,0.15
Cr2Mo2S8,72b286460831,1.344,0.1786805448398726,0.1411907674565237,1.2833333333333332,3.65492256512691,180.0,0.017
STeW,75ee10091f43,3.947,0.293574412341913,0.1498061527142361,1.25,0.0050494758077243,60.00000001562721,0.086
S2Sn2,7a8373382b33,4.469,0.7185895220588732,0.8186754780085288,1.225,0.0506262881642868,-90.0,0.043
BiClSe,7fe9c5cb910c,0.746,0.9114345157094904,0.93294310439798,1.25,0.011333953476045,-149.99999999593345,0.119
Hf2Zr2Se8,81af2831dbb2,0.698,0.8295197197316269,0.190363806457994,1.4166666666666667,1.1447489134690554,49.06672007808193,0.158
P2Sb2Te6,82b85dfd7723,2.596,0.8244461820584097,0.8318788232153959,1.2833333333333332,0.6539552019665499,150.08738780717383,0.14
Ti2Zr2Se8,846b50801a93,1.767,0.7638579163771706,0.1319633735503248,1.3666666666666665,1.054854130826018,49.17901520778983,0.142
MoCr3Te8,899032b4ad0c,1.409,0.1895688272224866,0.1019344113918172,1.4166666666666667,1.5343923781805922,90.0,0.087
STeW,916afba26723,3.622,0.2260818398707595,0.3590873032806925,1.25,0.0408814073123662,-149.9999999785103,0.266
MoCr3Se8,961c37d6e527,0.977,0.158679447921649,0.1159971336328279,1.3333333333333333,2.968544820496833,180.0,0.01
BiClTe,968a6902b7f5,1.175,0.901195181671016,0.9106283567992832,1.3333333333333333,0.0007074822080398,119.99999995915002,0.0
Cr2Mo2Te8,988b11badabb,1.105,0.2124826412893839,0.1041993926048926,1.4166666666666667,1.708587639699576,180.0,0.067
BiClS,99fd027b1d0b,0.461,0.909282666768928,0.9372956282273632,1.2,0.0127492878351768,-149.99999999570173,0.12
WMo3S8,9c2979187585,1.816,0.2052901218121179,0.207664962128622,1.2666666666666666,3.157392020057693,180.0,0.0
PbSe,a0dbdc6630fa,1.603,0.9241098190833938,0.7879851211433209,1.475,0.0,-150.0000000273454,0.217
TiZr3Se8,a148361e5e9a,1.321,0.8026965681371502,0.1449765152582613,1.3666666666666665,0.8654389572979732,-130.87219067532004,0.144
Mo2W2Se8,a1d716aad84d,1.784,0.2050796246622059,0.1834049364521039,1.3166666666666669,2.3531099345395177,180.0,0.0
CrMo3Se8,a7233837cfe9,1.311,0.2003083671083162,0.1477262102974496,1.3333333333333333,1.947957011223222,0.0,0.01
BiClSe,a80866a2c6b4,3.032,0.8702984144182764,0.9014430142409324,1.25,0.0002768495591408,-150.00000004311804,0.0
BiITe,a84d988e38ac,0.467,0.934812594962855,0.9417767775687268,1.4666666666666668,0.0039598906357175,-149.9999999925854,0.11
CrW3S8,a9f87eba4b96,1.909,0.1919601306899144,0.1713770613500185,1.25,3.359788364660403,180.0,0.009
 ,aa9a981d89aa,4.457,0.8340700960545168,0.8638507706444664,1.25,0.9747157556120232,59.95906716716718,0.054
BiIS,acdcd16c0d76,1.858,0.903623557863302,0.9238137730702656,1.3333333333333333,0.0007522787577415,30.000000062727228,0.014
AsIS,b13beafa16aa,2.033,0.8936670822854337,0.8952076420903963,1.1833333333333331,0.0050023399006459,119.99999999043432,0.064
ZrHf3Se8,b8fb10416122,0.725,0.8326247051860165,0.2009389569933805,1.4166666666666667,1.20096235991069,-130.89648561884889,0.165
BiClTe,badda86cab42,1.458,0.9359477403697092,0.9378360161127248,1.3333333333333333,0.0087227757335184,-150.00000004401488,0.129
