Formula,uid,Rashba_parameter,pmid_grdf_trig_max,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_grdf_gauss_std,kstart_frac_x,pmid_afs_trig_mean
Ga2P2Te6,4cb4ea247ef4,3.828,-5.899312808884923,0.7732005190484386,0.6736048722630876,1.2333333333333334,0.7505087700267525,0.5,7.584516160621858
BrSSb,4da5c6be60db,2.39,-1.5240643400375835,0.7806803560540508,0.8606994436980863,1.2,0.2499095161506945,0.5,0.2790122522308109
TiZr3Te8,4f1ab08988cc,1.679,-2.594167070404482,0.6849715466889554,0.1347440193725061,1.45,0.5898265370168793,0.5,1.6253052781467343
AsClTe,4fd8ad708fb0,2.895,-1.6570281070707489,0.8748022705579596,0.850388063665775,1.1833333333333331,0.2506632650801988,0.5,0.3245062030800436
ZrTi3Se8,52a5e2b280d4,1.091,-5.520923176146662,0.7405566209593908,0.1154653629793862,1.3666666666666665,1.0073082959452104,0.5,5.892091331260923
Cr2W2Se8,548aa830244c,1.39,-7.354265546555169,0.1687729940064901,0.1398028194256778,1.3,0.9749143172842925,0.5,10.870732684779457
Cr2W2S8,5974b6403c31,1.592,-7.957311854022141,0.1681267075821846,0.157123881369535,1.25,1.0305047922401531,0.5,12.578806411557563
ISSb,5b94060698bc,2.844,-1.410241841021329,0.8378311435722494,0.881194264676874,1.2833333333333334,0.250314513482764,0.5,0.227400357467751
MoW3Te8,5c3fe56a1a89,2.045,-5.580578624452043,0.2850819868146655,0.1412364257262718,1.3999999999999997,0.791673221733552,0.5,6.5728603985955525
P2Sb2Se6,5d1a32a28ffa,2.546,-6.232078086502242,0.8096352520917903,0.8238161694562693,1.2,0.7133502233351274,0.5,9.539303403194213
AsISe,5d829e480507,1.626,-1.500165667592836,0.8922939066570377,0.8797309545139917,1.2333333333333332,0.2607025930399145,0.5,0.2706149760933437
PbS,5e4ff1f56b4a,1.241,-0.9024573056510994,0.8989011752508484,0.774841563510968,1.4,0.0,0.5,0.0
Cr2Mo2Se8,60065d3bbcf2,1.173,-7.37498517432899,0.1629753879269453,0.1203719765762379,1.3333333333333333,0.9821521552865392,0.5,10.94024318246037
Cr2W2Te8,62bb754c4cb2,1.535,-6.056330613181832,0.2157043936857912,0.1016518741458471,1.3833333333333335,0.8265280213800389,0.0,7.617166012457983
CrMo3S8,644f7c1c85c7,1.46,-7.727094100701533,0.1854065113491833,0.1518783583282624,1.2833333333333332,1.0423192769059682,0.5,12.344521485357369
WCr3Te8,6523c349753c,0.99,-6.102950200405859,0.1806309371731511,0.0927822494170908,1.3833333333333335,0.8592355688159417,0.5,8.058678056201629
AsBrTe,671e6de2497a,0.694,-1.827950774139872,0.927546211775732,0.909375314729425,1.2333333333333332,0.190986040017127,0.0,0.4210240001132734
SeTeW,6e2a4c6f4f57,1.394,-1.7515391769253403,0.2588201614869204,0.1379246426011634,1.3,0.2665038395084947,0.5,0.3947903319235642
BiISe,70cbc0e44d36,2.089,-1.27569862429879,0.9060614974704904,0.9184150831842453,1.3833333333333335,0.1862558201763981,0.0,0.1379869635529958
HfZr3Se8,70e7ab872359,0.95,-4.550265692310671,0.8422121530840236,0.1814864790882361,1.4166666666666667,0.9162762195834324,0.0,3.955228033517419
Cr2Mo2S8,72b286460831,1.344,-7.98336742632467,0.1786805448398726,0.1411907674565237,1.2833333333333332,1.0371649300809498,0.5,12.64016741998821
STeW,75ee10091f43,3.947,-1.678734213870113,0.293574412341913,0.1498061527142361,1.25,0.2813802850687197,0.0,0.3898417357941154
S2Sn2,7a8373382b33,4.469,-2.3235848149122487,0.7185895220588732,0.8186754780085288,1.225,0.0193264367786514,0.0,0.8573276685079807
BiClSe,7fe9c5cb910c,0.746,-1.877884853550792,0.9114345157094904,0.93294310439798,1.25,0.1623177593357097,0.5,0.4447917600307146
Hf2Zr2Se8,81af2831dbb2,0.698,-4.5718633959163295,0.8295197197316269,0.190363806457994,1.4166666666666667,0.9222971362607572,0.0,4.011190069697933
P2Sb2Te6,82b85dfd7723,2.596,-5.494309473272709,0.8244461820584097,0.8318788232153959,1.2833333333333332,0.6887182659764759,0.3327478297774164,6.82354038262844
Ti2Zr2Se8,846b50801a93,1.767,-4.49528086270106,0.7638579163771706,0.1319633735503248,1.3666666666666665,0.8201424655261248,0.0,4.640355734439387
MoCr3Te8,899032b4ad0c,1.409,-4.476850256412183,0.1895688272224866,0.1019344113918172,1.4166666666666667,0.7999827316479137,0.0,4.0604013230713
STeW,916afba26723,3.622,-1.4242995656213564,0.2260818398707595,0.3590873032806925,1.25,0.3385167802641095,0.5,0.2510687473773069
MoCr3Se8,961c37d6e527,0.977,-7.43064238743913,0.158679447921649,0.1159971336328279,1.3333333333333333,1.0093886280752389,0.5,11.3960831530382
