bs_m_eff_VBM,bs_m_eff_CBM,bs_m_eff_ratio,bs_VBM_kdist_to_gamma,bs_CBM_kdist_to_gamma,bs_VBM_at_gamma,bs_CBM_at_gamma,bs_band_gap_at_VBM_kpt,bs_band_gap_at_CBM_kpt,bs_VBM_curvature,bs_CBM_curvature,uid
-0.16120686393614952,0.23198597841085075,1.4390576973368532,0.0,0.0633984907596187,1,0,0.8871,0.8954999999999997,-11.817114690318201,8.211703194519005,40034665f9f1
-0.16440721733437488,0.18298923117484514,1.1130243193805645,0.0,0.06214512688843919,1,0,0.8785999999999998,0.8835000000000002,-11.587082555661597,10.410448679243773,433f707c632c
-0.2196885463860066,0.21843922805144433,0.994313229546491,0.32861763022402285,0.32861763022402285,0,0,1.5534000000000001,1.5534000000000001,-8.671366948064717,8.720961051699724,449640ec4d30
-0.5500389219804753,0.17248607309488936,0.31358885017415566,0.3606762261586241,0.06218502872838195,0,0,1.8162000000000003,1.5812,-3.463391269004817,11.044369935606376,49b7be14f786
-0.15882538931886145,0.3895901728220202,2.4529464369192895,0.0,0.8994949761953512,1,0,1.3088,1.8205,-11.994303984833802,4.889753728131837,4c49d27e66e5
-0.1380680330084437,0.7798598509805136,5.648373732772889,0.23920924463538482,0.5938472152548405,0,0,0.5926,0.9428,-13.79754573517751,2.442746600693514,4cb4ea247ef4
-0.4417462379180925,0.14789129304581683,0.3347878948393862,0.37065914689660656,0.02526412233035923,0,1,1.9322000000000001,1.7953000000000001,-4.3124306139608155,12.881082860029018,4da5c6be60db
-0.5347394677818796,0.6863119098469411,1.2834510096922338,0.0,0.19018105830747448,1,0,0.23720000000000008,0.3389,-3.5624825074199498,2.7757058746435663,4f1ab08988cc
-0.5027678276515005,0.086424161803944,0.17189676238363033,0.35945553079679154,0.0,0,1,2.178,1.7718999999999998,-3.78902526221402,22.04244692961621,4fd8ad708fb0
-1.5524571726472067,0.8876872928380406,0.5717950282160641,0.3648563368460563,0.20459897670508553,0,0,0.8600000000000001,0.669,-1.227086990587732,2.14602598839676,52a5e2b280d4
-0.33825194382611534,0.7393793973591075,2.185883661142238,0.32331247273164476,0.2787182109556497,0,0,0.7824000000000001,0.7888999999999999,-5.6318966816619405,2.5764850992659794,548aa830244c
-0.31808106123824537,0.8199085144061264,2.577671588538898,0.33798512803101183,0.2725681339340602,0,0,0.9797,0.9900999999999999,-5.989039374378656,2.323429951669454,5974b6403c31
-0.5918415810697761,0.19841574193578163,0.33525143937527613,0.42021921594506106,0.06345630682830769,0,0,1.7344,1.6411,-3.218766745919812,9.601052726031002,5b94060698bc
-0.18558436788408034,0.2146836711816921,1.1567982456140258,0.2986575904637053,0.2875961982243088,0,0,0.8248,0.8254,-10.264873177195078,8.873520699148802,5c3fe56a1a89
-0.15446880535242144,0.31056810423141173,2.0105554873869123,0.2555462847804886,0.3407280389789384,0,0,1.0519,1.08,-12.332587124330585,6.133920302970131,5d1a32a28ffa
-0.12874450934020504,0.11018571808440389,0.8558479010024429,0.2778809685628872,0.037892943173044466,0,1,1.3913999999999997,1.3481,-14.796747525489199,17.288992013835603,5d829e480507
-1.0382135238575314,0.1293657345629312,0.12460417013473944,0.3868415476094944,0.012480094018412895,0,1,2.6561,2.082,-1.834882667413041,14.725692289663415,5e4ff1f56b4a
-0.3920197136512089,0.6629221336317747,1.6910428494970928,0.31267042026375286,0.2903375733739356,0,0,0.8391,0.8403,-4.8594494961927674,2.8736406635928486,60065d3bbcf2
-0.3214197439903249,0.38249566463340035,1.1900191938579663,0.301306673866518,0.27898766098751665,0,0,0.5153,0.5161,-5.926829436020404,4.980448606720368,62bb754c4cb2
-0.3118497530132455,0.6297163675314691,2.019294103801078,0.3318819341857345,0.3650708245570667,0,0,1.2098,1.2127,-6.108710946835629,3.0251714870739814,644f7c1c85c7
-0.388672808749158,0.5836018289071163,1.5015247163424847,0.3067079884224419,0.3286164076233854,0,0,0.4598,0.46130000000000004,-4.901294757744298,3.2642118404039344,6523c349753c
-0.15492393540231497,0.2860495666608861,1.846387170052561,0.0,1.0830008280597863,1,0,1.4999000000000002,1.9034999999999997,-12.296356886706961,6.659684970816236,671e6de2497a
-0.20931097945541943,0.26002463797461034,1.2422885729699251,1.2202143075648038,1.2202143075648038,0,0,1.0577,1.0577,-9.10129036210325,7.3262288329231735,6e2a4c6f4f57
-0.28103927615904134,0.14269269416053937,0.5077322149085985,0.2606207101609781,0.06336297070237407,0,0,1.229,1.1445,-6.7784119929271105,13.350368154495285,70cbc0e44d36
