n_feat,features,features_full,loo_r2,loo_mae
3,"radius_mean, max_Z4, ehull","old_radius_mean, old_max_Z4, old_ehull",-0.03908587991920354,0.735066525025801
3,"radius_mean, max_Z4, E_sfrac_VBM","old_radius_mean, old_max_Z4, E_sfrac_VBM",0.2944411618718531,0.6100693739736923
3,"radius_mean, max_Z4, E_sfrac_CBM","old_radius_mean, old_max_Z4, E_sfrac_CBM",0.14207033500872024,0.6257430945020733
3,"radius_mean, pmid_afs_gauss_std, kpath_angle_deg","old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg",0.19316733375069284,0.6037999275091923
3,"radius_mean, pmid_afs_gauss_std, ehull","old_radius_mean, pmid_afs_gauss_std, old_ehull",0.3759710645618005,0.5549280692254653
3,"radius_mean, pmid_afs_gauss_std, E_sfrac_VBM","old_radius_mean, pmid_afs_gauss_std, E_sfrac_VBM",0.3683925661914351,0.5620532125704216
3,"radius_mean, pmid_afs_gauss_std, E_sfrac_CBM","old_radius_mean, pmid_afs_gauss_std, E_sfrac_CBM",0.34463836014316973,0.5557785610333839
3,"radius_mean, kpath_angle_deg, ehull","old_radius_mean, old_kpath_angle_deg, old_ehull",0.10683805398278645,0.6897985456158416
3,"radius_mean, kpath_angle_deg, E_sfrac_VBM","old_radius_mean, old_kpath_angle_deg, E_sfrac_VBM",0.29946345827545573,0.6095708182219304
3,"radius_mean, kpath_angle_deg, E_sfrac_CBM","old_radius_mean, old_kpath_angle_deg, E_sfrac_CBM",0.251257763911348,0.6185169531046742
3,"radius_mean, ehull, E_sfrac_VBM","old_radius_mean, old_ehull, E_sfrac_VBM",0.3646574525587417,0.5773199199859542
3,"radius_mean, ehull, E_sfrac_CBM","old_radius_mean, old_ehull, E_sfrac_CBM",0.24669334054277348,0.5928785999519656
3,"radius_mean, E_sfrac_VBM, E_sfrac_CBM","old_radius_mean, E_sfrac_VBM, E_sfrac_CBM",0.40408226996742747,0.558980008428747
3,"max_Z4, pmid_afs_gauss_std, kpath_angle_deg","old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg",0.11904911444636734,0.6328478326171335
3,"max_Z4, pmid_afs_gauss_std, ehull","old_max_Z4, pmid_afs_gauss_std, old_ehull",0.3600178674515746,0.5518704109480886
3,"max_Z4, pmid_afs_gauss_std, E_sfrac_VBM","old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM",0.3681417390368449,0.554924484156599
3,"max_Z4, pmid_afs_gauss_std, E_sfrac_CBM","old_max_Z4, pmid_afs_gauss_std, E_sfrac_CBM",0.39250929302569304,0.5301867320802476
3,"max_Z4, kpath_angle_deg, ehull","old_max_Z4, old_kpath_angle_deg, old_ehull",-0.03414516433142656,0.717666102375647
3,"max_Z4, kpath_angle_deg, E_sfrac_VBM","old_max_Z4, old_kpath_angle_deg, E_sfrac_VBM",0.3376936566663755,0.5968712707962653
3,"max_Z4, kpath_angle_deg, E_sfrac_CBM","old_max_Z4, old_kpath_angle_deg, E_sfrac_CBM",0.28159811815007774,0.6143964081870186
3,"max_Z4, ehull, E_sfrac_VBM","old_max_Z4, old_ehull, E_sfrac_VBM",0.26875222754996175,0.6174420094201059
3,"max_Z4, ehull, E_sfrac_CBM","old_max_Z4, old_ehull, E_sfrac_CBM",-0.0033721313045469437,0.6893889499433113
3,"max_Z4, E_sfrac_VBM, E_sfrac_CBM","old_max_Z4, E_sfrac_VBM, E_sfrac_CBM",0.3085785120586262,0.6096049233542549
3,"pmid_afs_gauss_std, kpath_angle_deg, ehull","pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull",0.46690895672073307,0.5151503749086399
3,"pmid_afs_gauss_std, kpath_angle_deg, E_sfrac_VBM","pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_VBM",0.4162946781006469,0.5422494810133269
3,"pmid_afs_gauss_std, kpath_angle_deg, E_sfrac_CBM","pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_CBM",0.27817389642625734,0.5831083998294792
3,"pmid_afs_gauss_std, ehull, E_sfrac_VBM","pmid_afs_gauss_std, old_ehull, E_sfrac_VBM",0.5066610624211626,0.49789873390486755
3,"pmid_afs_gauss_std, ehull, E_sfrac_CBM","pmid_afs_gauss_std, old_ehull, E_sfrac_CBM",0.5281668096257517,0.4713655599969806
3,"pmid_afs_gauss_std, E_sfrac_VBM, E_sfrac_CBM","pmid_afs_gauss_std, E_sfrac_VBM, E_sfrac_CBM",0.44322934015514204,0.5192749886753584
3,"kpath_angle_deg, ehull, E_sfrac_VBM","old_kpath_angle_deg, old_ehull, E_sfrac_VBM",0.29870379278336034,0.592008281047898
3,"kpath_angle_deg, ehull, E_sfrac_CBM","old_kpath_angle_deg, old_ehull, E_sfrac_CBM",0.10795810798959138,0.6526011457250576
3,"kpath_angle_deg, E_sfrac_VBM, E_sfrac_CBM","old_kpath_angle_deg, E_sfrac_VBM, E_sfrac_CBM",0.36699966069659806,0.5683929925591055
