n_features,features,features_str,model,loo_r2,loo_mae
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, E_sfrac_VBM, E_sfrac_CBM",SVR_RBF,0.4094898867435751,0.4733509214499951
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull",LR,0.11689354104666749,0.6793393122847089
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull",SVR_RBF,0.5357910705379565,0.47212898755571575
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_VBM",LR,0.4162840043162048,0.5801874539950039
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_VBM",SVR_RBF,0.3161369124620311,0.5844091520816767
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_CBM",LR,0.10814109456175702,0.6914199274844008
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_CBM",SVR_RBF,0.3877117116791059,0.5075640555646732
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_ehull, E_sfrac_VBM",LR,0.38645067368707886,0.5832532352274883
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_ehull, E_sfrac_VBM",SVR_RBF,0.315211240777038,0.5303920374812866
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_ehull', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_ehull, E_sfrac_CBM",LR,0.10405480095138764,0.6793100219042224
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'old_ehull', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_ehull, E_sfrac_CBM",SVR_RBF,0.26627929156913954,0.5144855503040553
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, E_sfrac_VBM, E_sfrac_CBM",LR,0.3834576221259032,0.5860343012498889
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'pmid_afs_gauss_std', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, E_sfrac_VBM, E_sfrac_CBM",SVR_RBF,0.42124661349338155,0.500596404476559
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_kpath_angle_deg, old_ehull, E_sfrac_VBM",LR,0.3839847672368365,0.5835390121802656
