uid,Formula,E_sfrac_VBM,E_pfrac_VBM,E_dfrac_VBM,E_sfrac_CBM,E_pfrac_CBM,E_dfrac_CBM
671e6de2497a,AsBrTe,0.05241937170366095,0.9355517355316595,0.012028892764679555,0.03991658155795368,0.9092181663655128,0.05086525207653358
6e2a4c6f4f57,SeTeW,0.014033294679533799,0.30615774681106145,0.6798089585094046,0.03617393375963096,0.1521460168605942,0.811680049379775
70cbc0e44d36,BiISe,0.049053170258436515,0.9329201164246181,0.018026713316945414,0.05775220040622884,0.9200406228842247,0.022207176709546375
70e7ab872359,HfZr3Se8,0.009853267262708696,0.7698435446997126,0.22030318803757856,0.010591872216126301,0.17909984117202024,0.8103082866118534
72b286460831,Cr2Mo2S8,0.014918684292116463,0.2906508075199413,0.6944305081879423,0.01574521089952862,0.15395136406933105,0.8303034250311404
75ee10091f43,STeW,0.012740485634923072,0.31869151215112285,0.668568002213954,0.034889071487263765,0.15780881950150646,0.8073021090112298
7a8373382b33,S2Sn2,0.26333193839286445,0.7208313845194428,0.01583667708769252,0.16144630596841436,0.8196922027804039,0.018861491251181747
7fe9c5cb910c,BiClSe,0.05259172249400851,0.9334761824854892,0.013932095020502298,0.035123881195789006,0.9341237013570904,0.0307524174471205
81af2831dbb2,Hf2Zr2Se8,0.009924364482635159,0.785251074113856,0.20482456140350877,0.011098706903025234,0.18733135422246475,0.8015699388745101
82b85dfd7723,P2Sb2Te6,0.13684494730891567,0.847017265576002,0.016137787115082278,0.12344263811135797,0.8329824138813557,0.04357494800728652
846b50801a93,Ti2Zr2Se8,0.009821451821503903,0.7176126450649701,0.27256590311352613,0.009157689747824587,0.13053713609584142,0.860305174156334
899032b4ad0c,MoCr3Te8,0.010430406503058112,0.24492567845118884,0.7446439150457529,0.017025327753426286,0.1064301156310121,0.8765445566155616
916afba26723,STeW,0.007962923951969667,0.2670130842871522,0.7250239917608784,0.02683243997589521,0.3387547971708586,0.6344127628532462
961c37d6e527,MoCr3Se8,0.010178151140408464,0.2898093438910996,0.7000125049684919,0.01597449854148498,0.1331488888220612,0.8508766126364539
968a6902b7f5,BiClTe,0.07755092812408149,0.9047985107810111,0.017650561094907567,0.06846361185983826,0.912953860789599,0.018582527350562865
