Formula,uid,spacegroup,ehull,bandgap,band,kpath,Rashba_parameter,SS,dE,anticrossing
Pb2Te6,3995fa1bee6e,P2_1 (4),0.129,0.322,V,X->G,3.064,0.184,0.214,False
Pb2Te6,3995fa1bee6e,P2_1 (4),0.129,0.322,V,G->S,0.511,0.089,0.195,False
Pb2Te6,3995fa1bee6e,P2_1 (4),0.129,0.322,C,X->G,1.451,0.107,0.052,False
Pb2Te6,3995fa1bee6e,P2_1 (4),0.129,0.322,C,X->S,0.796,0.225,0.0,False
Pb2Te6,3995fa1bee6e,P2_1 (4),0.129,0.322,C,S->G,1.059,0.1,0.407,False
Cr2W2S8,5974b6403c31,Pma2 (28),0.014,0.967,V,X->G,1.592,0.179,0.0,True
Cr2W2S8,5974b6403c31,Pma2 (28),0.014,0.967,V,Y->S,1.151,0.079,0.562,False
HfZr3Se8,70e7ab872359,P1 (1),0.15,0.819,V,G->S,0.95,0.083,0.025,False
GeSe,211bcb7f05d6,P3m1 (156),0.04,2.215,V,M->K,0.94,0.107,0.86,False
Hf2Zr2Se8,81af2831dbb2,P1 (1),0.158,0.845,V,G->S,0.698,0.088,0.022,False
MoW3Te8,5c3fe56a1a89,Pm (6),0.018,0.825,V,X->G,2.045,0.311,0.0,False
MoW3Te8,5c3fe56a1a89,Pm (6),0.018,0.825,V,G->S,1.298,0.239,0.254,False
Mo2W2S8,449640ec4d30,Pc (7),0.0,1.553,V,X->G,1.954,0.278,0.0,True
Mo2W2S8,449640ec4d30,Pc (7),0.0,1.553,C,S->Y,1.167,0.086,0.115,True
CrW3S8,a9f87eba4b96,Pm (6),0.009,1.144,V,X->G,1.909,0.28,0.0,False
CrMo3S8,644f7c1c85c7,Pm (6),0.011,1.206,V,X->G,1.46,0.117,0.0,False
AsClTe,4fd8ad708fb0,P3m1 (156),0.018,1.496,V,M->G,2.895,0.136,0.038,False
AsClTe,4fd8ad708fb0,P3m1 (156),0.018,1.496,V,M->K,2.257,0.127,0.462,False
CrW3Te8,eef072f845ce,P1 (1),0.056,0.563,V,X->G,1.592,0.251,0.0,False
CrW3Te8,eef072f845ce,P1 (1),0.056,0.563,V,Y->S,1.042,0.108,0.472,False
CrW3Te8,eef072f845ce,P1 (1),0.056,0.563,V,G->S,0.99,0.204,0.223,False
ISSb,5b94060698bc,P3m1 (156),0.041,1.276,V,M->K,2.844,0.216,0.306,False
ISSb,5b94060698bc,P3m1 (156),0.041,1.276,C,G->M,1.507,0.195,0.0,False
ISSb,5b94060698bc,P3m1 (156),0.041,1.276,C,G->K,1.547,0.19,0.0,False
MoCr3S8,3fb52099b370,P1 (1),0.011,0.922,V,X->G,1.221,0.08,0.0,False
CrW3Se8,0b7696e1f4c9,P1 (1),0.01,0.902,V,X->G,1.756,0.303,0.0,False
TiHf3Te8,1667d1443160,P1 (1),0.132,0.098,V,S->Y,1.512,0.089,0.334,False
CrMo3Te8,159f028a85d0,P1 (1),0.035,0.665,V,Y->S,0.896,0.094,0.328,False
Ti2Zr2Te8,18e377cce57f,P1 (1),0.118,0.143,V,S->Y,1.855,0.213,0.166,False
PbS,5e4ff1f56b4a,P3m1 (156),0.231,1.979,C,M->G,1.241,0.292,0.266,True
PbTe,3bc08d486d65,P3m1 (156),0.198,1.151,V,M->K,1.138,0.162,1.013,True
PbTe,3bc08d486d65,P3m1 (156),0.198,1.151,C,M->G,2.18,0.319,0.208,False
P2Sb2Se6,5d1a32a28ffa,P1 (1),0.058,1.004,V,Y->G,2.483,0.142,0.008,False
P2Sb2Se6,5d1a32a28ffa,P1 (1),0.058,1.004,V,X->G,2.546,0.142,0.0,False
P2Sb2Se6,5d1a32a28ffa,P1 (1),0.058,1.004,C,Y->G,1.261,0.107,0.002,False
P2Sb2Se6,5d1a32a28ffa,P1 (1),0.058,1.004,C,X->G,1.339,0.116,0.0,False
BiClTe,badda86cab42,P3m1 (156),0.129,0.948,C,M->G,1.458,0.441,0.209,False
BiClTe,badda86cab42,P3m1 (156),0.129,0.948,C,M->K,0.863,0.123,0.52,True
TiZr3Te8,4f1ab08988cc,P1 (1),0.115,0.21,V,S->Y,1.679,0.113,0.177,False
TiHf3Se8,3e1923c616ad,P1 (1),0.166,0.722,V,S->Y,1.256,0.087,0.037,False
TiHf3Se8,3e1923c616ad,P1 (1),0.166,0.722,V,S->G,0.626,0.106,0.029,False
