uid,formula,abs_resid_C6,abs_resid_5feat_minus_ehull,abs_resid_7feat_C6_plus_z4,mean_abs_resid_across_sets,n_sets_top10
a1d716aad84d,Mo2W2Se8,0.11511429214477542,0.2678930368423462,0.021048108100891083,0.13468514569600423,0
a0dbdc6630fa,PbSe,0.34884770202636717,0.5055486707687378,0.29903967666625975,0.38447868315378825,0
99fd027b1d0b,BiClS,0.4910638585090637,0.3445348992347717,0.5083554043769836,0.4479847207069397,0
a80866a2c6b4,BiClSe,0.8793145961761475,0.9019312210083008,0.7652670688629151,0.8488376286824545,0
a9f87eba4b96,CrW3S8,0.13802107238769534,0.19785610771179196,0.0052817258834838565,0.11371963532765705,0
acdcd16c0d76,BiIS,0.2795759038925172,0.3119588689804078,0.3274330692291261,0.306322614034017,0
b13beafa16aa,AsIS,0.005865804672241293,0.29165411758422843,0.22122549247741707,0.17291513824462892,0
b8fb10416122,ZrHf3Se8,0.255718731880188,0.362546706199646,0.09447666406631472,0.23758070071538293,0
badda86cab42,BiClTe,0.7810000138282776,0.7971108512878418,0.7002139644622802,0.7594416098594664,0
a7233837cfe9,CrMo3Se8,0.5337462320327759,0.2981556549072266,0.2208224430084229,0.35090810998280847,0
9c2979187585,WMo3S8,0.23891256713867182,0.3185798969268798,0.2285504188537597,0.26201429430643713,0
c55716558616,HfTi3Se8,0.03958450222015375,0.10681031608581537,0.01261283493041998,0.05300255107879637,0
c04fc052f2ca,Mo2W2Te8,0.13765420436859133,0.10556067943573,0.014399390220642072,0.0858714246749878,0
c96ef4fc869c,BiClS,0.521518343925476,0.5878595056533813,0.8269669952392578,0.6454482816060384,0
c798e725e2fb,WCr3Se8,0.08626970291137703,0.09031352043151863,0.1824178361892701,0.11966701984405526,0
cce78d90e899,Hf2Ti2Se8,0.13394586181640622,0.08640150165557858,0.059219757080078095,0.09318904018402097,0
d59c96fdfda1,SeSn,0.48639764976501465,0.5352959890365601,0.23983576488494873,0.42050980122884113,0
da5fd2bb47af,ClSbTe,0.08674856758117677,0.3637120399475098,0.08361193275451662,0.17802418009440105,0
dc4259e69783,WCr3S8,0.26991525459289556,0.4914907531738282,0.39096835422515874,0.3841247873306275,0
df0019ec24b5,ISbSe,0.13725590133666987,0.011507028579711864,0.12392258071899409,0.09089517021179194,0
e688959ea45b,SnTe,0.04607838964462285,0.08146666908264155,0.0349957885742187,0.0541802824338277,0
eadd37f03ca5,GeTe,0.17389521789550777,0.31574223232269283,0.17640683841705318,0.22201476287841793,0
eef072f845ce,CrW3Te8,0.22497772407531746,0.34937833976745614,0.10945498180389412,0.2279370152155559,0
f1e78a09001d,BrSbTe,0.18589085578918452,0.1183882331848145,0.25282937526702876,0.18570282141367592,0
