features,feat_list,indices,n_feat,cv5_r2
end_adf_min + kend_frac_x + start_adf_mean,"end_adf_min,kend_frac_x,start_adf_mean","(10, 18, 53)",3,0.06088134490565107
end_adf_max + kpath_interior_degeneracy + mid_adf_mean,"end_adf_max,kpath_interior_degeneracy,mid_adf_mean","(8, 25, 40)",3,0.06086366199325064
kend_frac_y + mid_adf_min + start_adf_mean,"kend_frac_y,mid_adf_min,start_adf_mean","(19, 41, 53)",3,0.06081635396065292
kend_degeneracy + kmid_frac_y + start_adf_max,"kend_degeneracy,kmid_frac_y,start_adf_max","(17, 22, 52)",3,0.06079383064142678
max_Z + mid_adf_mean + start_adf_max,"max_Z,mid_adf_mean,start_adf_max","(35, 40, 52)",3,0.060792591442695845
max_Z4 + mid_adf_mean + start_adf_max,"max_Z4,mid_adf_mean,start_adf_max","(36, 40, 52)",3,0.060792591442695845
mid_nearest_mass + n_elements + start_adf_std,"mid_nearest_mass,n_elements,start_adf_std","(47, 49, 56)",3,0.060752648365531625
mid_nearest_Z + n_elements + start_adf_std,"mid_nearest_Z,n_elements,start_adf_std","(44, 49, 56)",3,0.060752648365531625
mid_nearest_Z4 + n_elements + start_adf_std,"mid_nearest_Z4,n_elements,start_adf_std","(45, 49, 56)",3,0.060752648365531625
end_adf_mean + end_nearest_mass + kvec_x,"end_adf_mean,end_nearest_mass,kvec_x","(9, 16, 32)",3,0.06074756931029661
end_adf_mean + end_nearest_Z + kvec_x,"end_adf_mean,end_nearest_Z,kvec_x","(9, 13, 32)",3,0.06074756931029661
end_adf_mean + end_nearest_Z4 + kvec_x,"end_adf_mean,end_nearest_Z4,kvec_x","(9, 14, 32)",3,0.06074756931029661
end_nearest_Z4 + max_mass + start_adf_mean,"end_nearest_Z4,max_mass,start_adf_mean","(14, 37, 53)",3,0.06072925430257026
end_nearest_Z + max_mass + start_adf_mean,"end_nearest_Z,max_mass,start_adf_mean","(13, 37, 53)",3,0.06072925430257026
