Formula,uid,kpath,mid_adf_max,E_pfrac_relevant,mid_nearest_Z,end_adf_n_triplets,start_adf_mean,start_adf_std,band_binary,Rashba_parameter
Bi2P2Se6,aa9a981d89aa,Y->G,149.54061306084628,0.8638507706444664,34,45,86.56184767707043,36.86177869270744,1,1.66
Bi2P2Se6,aa9a981d89aa,X->G,63.64580009154549,0.8638507706444664,34,45,54.82051554807135,25.935913457559774,1,1.729
Bi2P2Se6,aa9a981d89aa,G->X,63.64580009154549,0.8638507706444664,34,45,55.35100376815375,26.623654592545297,1,2.029
HfTi3Se8,c55716558616,S->Y,162.59121162043036,0.7409042099373613,22,66,93.28768790365416,36.86850727062305,0,1.191
Mo2W2Te8,c04fc052f2ca,X->G,179.87971896451225,0.2958079752151466,42,66,62.71638376968713,29.06454634337829,0,1.645
Mo2W2Te8,c04fc052f2ca,G->S,162.5553634227804,0.2958079752151466,74,66,45.10860266961678,20.48931551444148,0,1.315
Mo2W2Te8,c04fc052f2ca,G->S,162.5553634227804,0.1399480237647956,74,66,45.10860266961678,20.48931551444148,1,1.35
BiISe,70cbc0e44d36,M->K,122.46461417716012,0.9060614974704904,83,3,78.85272828108593,14.00900140174493,0,1.267
BiISe,70cbc0e44d36,G->M,107.32279940585988,0.9184150831842453,83,3,91.62393846236364,29.72021250334632,1,2.045
BiISe,70cbc0e44d36,M->K,122.46461417716012,0.9184150831842453,83,3,78.85272828108593,14.00900140174493,1,1.142
BiISe,70cbc0e44d36,G->K,135.5950638798822,0.9184150831842453,83,3,91.62393846236364,29.72021250334632,1,2.089
Pb2Te6,3995fa1bee6e,X->G,169.43418659273416,0.8986972744902609,82,28,99.2665631990144,42.47495573649691,0,3.064
Pb2Te6,3995fa1bee6e,G->S,144.55798332956516,0.8986972744902609,82,28,74.8494248864155,35.1412610746843,0,0.511
Pb2Te6,3995fa1bee6e,X->G,169.43418659273416,0.8492620158711233,82,28,99.2665631990144,42.47495573649691,1,1.451
Pb2Te6,3995fa1bee6e,X->S,161.5772541271108,0.8492620158711233,52,28,99.2665631990144,42.47495573649691,1,0.796
Pb2Te6,3995fa1bee6e,S->G,144.55798332956516,0.8492620158711233,82,28,58.941762759683726,32.88886431534008,1,1.059
Cr2W2S8,5974b6403c31,X->G,179.54569005283977,0.1681267075821846,24,66,57.924094461847126,26.18900283586829,0,1.592
Cr2W2S8,5974b6403c31,Y->S,162.04786564611734,0.1681267075821846,74,66,67.81237234533114,31.796261375355535,0,1.151
HfZr3Se8,70e7ab872359,G->S,164.91906148543515,0.8422121530840236,40,66,51.34833192384224,25.68140472372014,0,0.95
GeSe,211bcb7f05d6,M->K,100.73244955635434,0.9034063151276184,32,1,62.42500872290852,0.0,0,0.94
Hf2Zr2Se8,81af2831dbb2,G->S,165.6889008604985,0.8295197197316269,72,66,51.23813851829724,25.61194154305036,0,0.698
MoW3Te8,5c3fe56a1a89,X->G,179.8150560039966,0.2850819868146655,42,66,65.30572898240644,31.971267159895003,0,2.045
MoW3Te8,5c3fe56a1a89,G->S,162.60803432606073,0.2850819868146655,74,66,43.097683655528094,20.26842339906199,0,1.298
Mo2W2S8,449640ec4d30,X->G,179.97798784595028,0.2072633880549644,42,66,65.25327936111827,32.307696776068,0,1.954
Mo2W2S8,449640ec4d30,S->Y,174.31998263014597,0.2146805678678273,74,66,93.55889614419232,36.43124880651975,1,1.167
CrW3S8,a9f87eba4b96,X->G,179.72524616647198,0.1919601306899144,24,66,63.16434889612514,29.746451267855196,0,1.909
CrMo3S8,644f7c1c85c7,X->G,179.44672910016763,0.1854065113491833,24,66,55.80440960218041,25.454853566873403,0,1.46
AsClTe,4fd8ad708fb0,M->G,118.09491652437534,0.8748022705579596,33,3,77.97084329568558,16.95550958316107,0,2.895
AsClTe,4fd8ad708fb0,M->K,119.6018492485087,0.8748022705579596,33,3,77.97084329568558,16.95550958316107,0,2.257
CrW3Te8,eef072f845ce,X->G,178.74018712951818,0.2267102691969866,24,66,55.07209230141291,24.51189632130541,0,1.592
CrW3Te8,eef072f845ce,Y->S,162.77512904246495,0.2267102691969866,74,66,68.12337575521492,31.73598624775886,0,1.042
