Formula,uid,kpath,pmid_grdf_trig_max,E_pfrac_relevant,E_pfrac_CBM,radius_mean,pmid_grdf_gauss_std,kstart_frac_x,pmid_afs_trig_mean,Rashba_parameter
BiBrTe,304bc6a92d82,M->K,-1.3430495846442807,0.8941369584845804,0.9109066585302884,1.3833333333333335,0.1465991310511269,0.5,0.1622030639205651,1.13
BiBrTe,304bc6a92d82,M->K,-1.3430495846442807,0.9109066585302884,0.9109066585302884,1.3833333333333335,0.1465991310511269,0.5,0.1622030639205651,1.08
MoW3S8,2f6f133abcc8,X->G,-7.612064738401055,0.2120919784501239,0.2250064564826057,1.2666666666666666,1.0646925214350431,0.5,11.643323569450096,2.241
MoW3S8,2f6f133abcc8,S->Y,-6.861332647794326,0.2250064564826057,0.2250064564826057,1.2666666666666666,1.2179670141871335,0.5,8.838154644381492,1.202
BiClSe,7fe9c5cb910c,M->K,-1.877884853550792,0.9114345157094904,0.93294310439798,1.25,0.1623177593357097,0.5,0.4447917600307146,0.679
BiClSe,7fe9c5cb910c,M->G,-1.877884853550792,0.93294310439798,0.93294310439798,1.25,0.1623177593357097,0.5,0.4447917600307146,0.746
WMo3Te8,323fb700d903,X->G,-5.5965905455168485,0.3014358700618786,0.1389700062296471,1.3999999999999997,0.7936127338565003,0.5,6.6039285122440825,1.501
WMo3Te8,323fb700d903,G->S,-4.680383674114836,0.3014358700618786,0.1389700062296471,1.3999999999999997,0.9294950168759122,0.0,3.8446308706236536,1.292
AsIS,b13beafa16aa,M->K,-1.529546443959513,0.8936670822854337,0.8952076420903963,1.1833333333333331,0.2961298420365916,0.5,0.3029748718025207,2.033
AsIS,b13beafa16aa,G->M,-1.529546443959513,0.8952076420903963,0.8952076420903963,1.1833333333333331,0.2961298420365916,0.0,0.3029748718025207,1.305
AsIS,b13beafa16aa,G->K,-1.529546443959513,0.8952076420903963,0.8952076420903963,1.1833333333333331,0.2961298420365916,0.0,0.3029748718025207,1.353
AsITe,114b3382699c,G->M,-1.74151265175515,0.9096856795947482,0.9096856795947482,1.3166666666666669,0.1864497353607483,0.0,0.3863201435018275,0.502
AsITe,114b3382699c,G->K,-1.74151265175515,0.9096856795947482,0.9096856795947482,1.3166666666666669,0.1864497353607483,0.0,0.3863201435018275,0.579
WCr3Se8,c798e725e2fb,X->G,-7.421360918326534,0.1467562156481204,0.1196259650218804,1.3,1.004490516712149,0.5,11.370087531653809,1.16
