Formula,uid,kpath,E_pfrac_relevant,mid_adf_n_triplets,start_adf_min,mid_nearest_Z,start_adf_mean,kpath_angle_deg,mid_nearest_Z4,n_elements,Rashba_parameter
AsISe,5d829e480507,M->K,0.8922939066570377,3,59.44799865064539,33,78.83002552040381,120.00000000009142,1185921,3,1.626
AsISe,5d829e480507,G->M,0.8797309545139917,3,55.29280083805458,33,91.62125302767264,30.00000008399031,1185921,3,1.583
AsISe,5d829e480507,G->K,0.8797309545139917,3,55.29280083805458,33,91.62125302767264,60.00000004194945,1185921,3,1.615
ClSbSe,0c0fbdaf8f4a,G->M,0.7943110472668419,3,55.466717005794834,51,90.0702392476707,29.99999994307009,6765201,3,2.682
ClSbSe,0c0fbdaf8f4a,G->K,0.7943110472668419,3,55.466717005794834,51,90.0702392476707,59.99999998409072,6765201,3,2.448
ClSbTe,da5fd2bb47af,M->G,0.8418724917890628,3,53.54886979140732,51,77.77817776078729,-149.99999999664146,6765201,3,2.891
ClSbTe,da5fd2bb47af,M->K,0.8418724917890628,3,53.54886979140732,51,77.77817776078729,119.99999999664144,6765201,3,2.35
Cr2W2Te8,62bb754c4cb2,G->X,0.2157043936857912,66,17.68033054996704,24,45.02987436686868,0.0,331776,3,1.535
Cr2W2Te8,62bb754c4cb2,Y->S,0.2157043936857912,66,0.4552607106973431,74,67.99451625329183,0.0,29986576,3,1.105
Cr2W2Te8,62bb754c4cb2,G->S,0.2157043936857912,66,17.68033054996704,74,45.02987436686868,49.07266394958416,29986576,3,0.686
Mo2W2Se8,a1d716aad84d,X->G,0.2050796246622059,66,21.11396837771373,42,64.81761283461408,180.0,3111696,3,1.784
BiITe,2d41b3dd1772,G->M,0.919259222337323,3,54.43701184430368,83,91.1557326480521,29.99999996531762,47458321,3,2.065
BiITe,2d41b3dd1772,M->K,0.919259222337323,3,57.41562394070298,83,78.92374450307214,119.99999995987363,47458321,3,1.391
BiITe,2d41b3dd1772,G->K,0.919259222337323,3,54.43701184430368,83,91.1557326480521,60.000000002722,47458321,3,2.086
ZrTi3Se8,52a5e2b280d4,S->Y,0.7405566209593908,66,28.520061968987267,22,93.24867170700828,180.0,234256,3,1.091
ZrTi3Se8,52a5e2b280d4,S->G,0.7405566209593908,66,28.520061968987267,22,93.24867170700828,-130.8472969878528,234256,3,0.48
BiBrSe,11db0908d9ef,M->G,0.9316661883508596,3,86.88012398285512,83,98.42572729759507,-150.0000000375113,47458321,3,0.393
P2Sb2Te6,82b85dfd7723,Y->G,0.8244461820584097,45,14.368336921758948,52,87.01903550646455,-120.08754198205264,7311616,3,2.466
P2Sb2Te6,82b85dfd7723,X->G,0.8244461820584097,45,11.132365829712825,52,54.86673043022185,150.08738780717383,7311616,3,2.596
P2Sb2Te6,82b85dfd7723,Y->G,0.8318788232153959,45,14.368336921758948,52,87.01903550646455,-120.08754198205264,7311616,3,1.057
P2Sb2Te6,82b85dfd7723,X->G,0.8318788232153959,45,11.132365829712825,52,54.86673043022185,150.08738780717383,7311616,3,0.92
WCr3S8,dc4259e69783,X->G,0.134076482189789,66,12.141633022384507,24,53.40756866193291,180.0,331776,3,1.317
Cr2Mo2Te8,988b11badabb,X->G,0.2124826412893839,66,15.59253106629215,24,55.34126258322475,180.0,331776,3,1.105
Cr2Mo2Te8,988b11badabb,Y->S,0.2124826412893839,66,0.4919707084027133,42,67.99611524845703,0.0,3111696,3,0.842
Cr2Mo2Te8,988b11badabb,G->S,0.2124826412893839,66,17.64393623765405,42,45.03814789764208,49.078432863752205,3111696,3,0.735
ISbSe,343d2125478e,G->M,0.9133427007098202,3,52.08630213015416,51,87.3722136167331,30.000000008527763,6765201,3,1.17
ISbSe,343d2125478e,G->K,0.9133427007098202,3,52.08630213015416,51,87.3722136167331,60.00000000852776,6765201,3,0.954
