Formula,uid,kpath,E_pfrac_relevant,ehull,pmid_afs_gauss_std,kpath_angle_deg,kstart_frac_y,band_binary,Rashba_parameter
MoCr3S8,3fb52099b370,X->G,0.1542812240567189,0.011,3.857342355269868,180.0,0.0,0,1.221
CrW3Se8,0b7696e1f4c9,X->G,0.1813042425403861,0.01,2.5442068051315605,180.0,0.0,0,1.756
TiHf3Te8,1667d1443160,S->Y,0.7032942480989642,0.132,0.4526582288145663,-130.8334179720495,0.5,0,1.512
CrMo3Te8,159f028a85d0,Y->S,0.2569664710702297,0.035,1.1396370453288296,0.0,0.5,0,0.896
Ti2Zr2Te8,18e377cce57f,S->Y,0.6431649598769135,0.118,0.7759079817591281,180.0,0.5,0,1.855
PbS,5e4ff1f56b4a,M->G,0.774841563510968,0.231,0.0,-150.00000001782004,0.0,1,1.241
PbTe,3bc08d486d65,M->K,0.9311785526870192,0.198,0.0,120.00000001856608,0.0,0,1.138
PbTe,3bc08d486d65,M->G,0.7994363268899549,0.198,0.0,-149.99999994206163,0.0,1,2.18
P2Sb2Se6,5d1a32a28ffa,Y->G,0.8096352520917903,0.058,1.0938007335282762,-90.0,0.5,0,2.483
P2Sb2Se6,5d1a32a28ffa,X->G,0.8096352520917903,0.058,1.0938007335282762,-150.05171859821505,0.0,0,2.546
P2Sb2Se6,5d1a32a28ffa,Y->G,0.8238161694562693,0.058,1.0938007335282762,-90.0,0.5,1,1.261
P2Sb2Se6,5d1a32a28ffa,X->G,0.8238161694562693,0.058,1.0938007335282762,-150.05171859821505,0.0,1,1.339
BiClTe,badda86cab42,M->G,0.9378360161127248,0.129,0.0087227757335184,-150.00000004401488,0.0,1,1.458
BiClTe,badda86cab42,M->K,0.9378360161127248,0.129,0.0087227757335184,119.99999996490024,0.0,1,0.863
TiZr3Te8,4f1ab08988cc,S->Y,0.6849715466889554,0.115,0.4312365072138929,-130.83623677816092,0.5,0,1.679
TiHf3Se8,3e1923c616ad,S->Y,0.7987767433307077,0.166,0.9230429099485018,-130.86288740334143,0.5,0,1.256
TiHf3Se8,3e1923c616ad,S->G,0.7987767433307077,0.166,1.219215835771028,-130.86288740334143,0.5,0,0.626
Cr2Mo2Se8,60065d3bbcf2,X->G,0.1629753879269453,0.016,2.809348343827074,180.0,0.0,0,1.173
Cr2Mo2Se8,60065d3bbcf2,Y->S,0.1629753879269453,0.016,2.256985633897433,0.0,0.5,0,1.124
CrMo3Se8,a7233837cfe9,X->G,0.2003083671083162,0.01,2.579872477369871,180.0,0.0,0,1.288
CrMo3Se8,a7233837cfe9,Y->S,0.2003083671083162,0.01,1.947957011223222,0.0,0.5,0,1.311
CrMo3Se8,a7233837cfe9,G->S,0.2003083671083162,0.01,1.947957011223222,49.12125581267344,0.0,0,0.779
ZrHf3Se8,b8fb10416122,S->G,0.8326247051860165,0.165,1.20096235991069,-130.89648561884889,0.5,0,0.725
WCr3Te8,6523c349753c,X->G,0.1806309371731511,0.097,1.804437740667562,180.0,0.0,0,0.99
Hf2Ti2Se8,cce78d90e899,S->Y,0.7652933296496389,0.156,1.0748969259127437,-130.82723326206678,0.5,0,1.409
Hf2Ti2Se8,cce78d90e899,S->G,0.7652933296496389,0.156,1.497892822283519,-130.82723326206678,0.5,0,0.553
BiClSe,a80866a2c6b4,G->M,0.8702984144182764,0.0,0.0002768495591408,29.999999956881982,0.0,0,2.393
BiClSe,a80866a2c6b4,M->K,0.8702984144182764,0.0,0.0002768495591408,119.99999996333172,0.0,0,1.782
BiClSe,a80866a2c6b4,G->K,0.8702984144182764,0.0,0.0002768495591408,59.999999996775145,0.0,0,2.216
BiClSe,a80866a2c6b4,M->G,0.9014430142409324,0.0,0.0002768495591408,-150.00000004311804,0.0,1,3.032
WMo3Se8,05a06afa3b20,X->G,0.2290036829903243,0.0,2.3544838024271337,180.0,0.0,0,1.643
WMo3Se8,05a06afa3b20,G->S,0.2290036829903243,0.0,1.9122040017348627,49.11229464004592,0.0,0,1.001
BrSSb,4da5c6be60db,M->K,0.7806803560540508,0.028,0.0029502106564928,120.0000000338442,0.0,0,2.39
Cr2W2Se8,548aa830244c,X->G,0.1687729940064901,0.015,2.771791624354439,180.0,0.0,0,1.39
Cr2W2Se8,548aa830244c,Y->S,0.1687729940064901,0.015,2.226952864671376,0.0,0.5,0,1.322
WMo3S8,9c2979187585,X->G,0.2052901218121179,0.0,3.157392020057693,180.0,0.0,0,1.816
TiZr3Se8,a148361e5e9a,S->Y,0.8026965681371502,0.144,0.8654389572979732,-130.87219067532004,0.5,0,1.321
TiZr3Se8,a148361e5e9a,G->S,0.8026965681371502,0.144,1.15806949495829,49.12780932467997,0.0,0,0.88
BiClS,c96ef4fc869c,G->M,0.9094579449330604,0.0,0.0007471850235111,29.99999994710189,0.0,1,1.146
BiClS,c96ef4fc869c,G->K,0.9094579449330604,0.0,0.0007471850235111,59.99999998775802,0.0,1,1.181
Ga2P2Te6,4cb4ea247ef4,Y->G,0.7732005190484386,0.173,1.026507869199079,-90.0,0.5,0,3.695
Ga2P2Te6,4cb4ea247ef4,X->G,0.7732005190484386,0.173,1.026507869199079,-149.99867077296796,0.0,0,3.828
MoCr3Se8,961c37d6e527,X->G,0.158679447921649,0.01,2.968544820496833,180.0,0.0,0,0.977
AsClSe,1a3be826b3e0,G->M,0.8229245148495816,0.013,0.0099843534661444,29.999999972350786,0.0,0,3.717
AsClSe,1a3be826b3e0,G->K,0.8229245148495816,0.013,0.0099843534661444,60.0000000163824,0.0,0,3.481
