features,feat_list,indices,n_feat,cv5_r2
kmid_frac_x + mid_adf_max,"kmid_frac_x,mid_adf_max","(21, 39)",2,0.06651614069147231
end_adf_max + kpath_angle_deg,"end_adf_max,kpath_angle_deg","(8, 24)",2,0.06489238315838093
E_pfrac_relevant + end_adf_mean,"E_pfrac_relevant,end_adf_mean","(2, 9)",2,0.06292921816466572
kend_frac_x + mid_adf_max,"kend_frac_x,mid_adf_max","(18, 39)",2,0.060250190221676235
E_pfrac_CBM + start_adf_std,"E_pfrac_CBM,start_adf_std","(0, 56)",2,0.05975221328669591
end_adf_max + kpath_total_weight,"end_adf_max,kpath_total_weight","(8, 27)",2,0.05710689938214366
mid_adf_mean + start_adf_mean,"mid_adf_mean,start_adf_mean","(40, 53)",2,0.053959333018499825
end_adf_max + sum_Z4,"end_adf_max,sum_Z4","(8, 61)",2,0.053464598232045524
end_adf_max + kpath_interior_degeneracy,"end_adf_max,kpath_interior_degeneracy","(8, 25)",2,0.05318518596734205
mid_adf_mean + start_adf_max,"mid_adf_mean,start_adf_max","(40, 52)",2,0.05276397346596371
kvec_x + start_adf_max,"kvec_x,start_adf_max","(32, 52)",2,0.05095178197215668
E_pfrac_relevant + sum_Z4,"E_pfrac_relevant,sum_Z4","(2, 61)",2,0.050581080820490266
start_adf_max + start_adf_mean,"start_adf_max,start_adf_mean","(52, 53)",2,0.05040384235319517
E_pfrac_relevant + end_adf_min,"E_pfrac_relevant,end_adf_min","(2, 10)",2,0.049934586114246685
E_pfrac_CBM + start_adf_max,"E_pfrac_CBM,start_adf_max","(0, 52)",2,0.04974811799588445
band_binary + start_adf_mean,"band_binary,start_adf_mean","(5, 53)",2,0.04919484511229175
kmid_frac_y + start_adf_max,"kmid_frac_y,start_adf_max","(22, 52)",2,0.04675444349775306
end_adf_mean + mid_nearest_Z4,"end_adf_mean,mid_nearest_Z4","(9, 45)",2,0.04664757629631631
end_adf_mean + mid_nearest_mass,"end_adf_mean,mid_nearest_mass","(9, 47)",2,0.04664757629631631
end_adf_mean + mid_nearest_Z,"end_adf_mean,mid_nearest_Z","(9, 44)",2,0.04664757629631631
