uid,bwdf_chi_total,bwdf_chi_mean_r,bwdf_chi_std_r,bwdf_chi_skew,bwdf_chi_kurt,bwdf_chi_max_val,bwdf_chi_max_r,bwdf_chi_first_peak_r,bwdf_z_total,bwdf_z_mean_r,bwdf_z_std_r,bwdf_z_skew,bwdf_z_kurt,bwdf_z_max_val,bwdf_z_max_r,bwdf_z_first_peak_r,asi_chi_mean,asi_chi_std,asi_chi_max,asi_chi_z_mean,asi_chi_z_abs_mean,asi_chi_z_max,asi_z_mean,asi_z_std,asi_z_max,asi_z_z_mean,asi_z_z_abs_mean,asi_z_z_max
433f707c632c,1.814798870832844,3.1485248883411128,0.2626617622387901,0.4689321468357137,0.3125155371303032,3.834075067560899,3.3181818181818183,2.909090909090909,28087.772468550174,3.7618401072054555,0.513130085073434,-0.6044896997877017,-1.2144312888245483,63757.609797846824,4.181818181818182,2.909090909090909,0.4722139936809821,0.2514319763294287,0.7054125533434092,-0.0019389581187092182,0.4722139936809821,0.7054125533434092,0.2636627170929284,0.13850490415008038,0.3801115761288549,-0.035770036295592354,0.2636627170929284,0.3801115761288549
449640ec4d30,8.50248310754835,3.2059206308752812,0.7596186479611179,0.007874035022396808,-1.830727214264539,15.343649938466548,4.0,2.409090909090909,48728.85362215426,3.276778265494196,0.6270408940757559,0.19128088694769496,-0.8060886926893431,92462.93574171973,3.181818181818182,2.409090909090909,0.35307643849043946,0.2499213018455828,0.5574367981692052,5.254428366916845e-06,0.3486236013152582,0.5503676508191526,0.31897998766051144,0.2251905275194671,0.4903131654158232,-5.15345932651512e-06,0.31740558583541906,0.4881017772645143
49b7be14f786,3.4914043389201432,3.5138152734525416,0.8085026910302328,0.7617167070509483,-0.9853993836062664,5.579738026953805,3.090909090909091,2.772727272727273,21371.30577441838,3.828299150073922,0.6071812271736846,-0.44409676135170395,-0.6856744362654701,52873.62867679431,4.090909090909091,2.772727272727273,0.42192019442525014,0.25620874156202145,0.6883800338969935,0.03699982817274557,0.42192019442525014,0.6883800338969935,0.278355368064672,0.16760259234198155,0.40364549316200155,-0.018382463567534424,0.278355368064672,0.40364549316200155
4c49d27e66e5,2.5354882095595377,3.5681466287823835,0.8681928284791346,0.5995878841476227,-1.3272922891875267,3.6527010214987055,3.2272727272727275,2.7272727272727275,15441.364479758202,3.7403286832464713,0.529647819097575,-0.09601181460124593,-0.1556505299979447,33329.46271555579,3.9545454545454546,2.7272727272727275,0.387107023527223,0.2904743211793757,0.7165247119095551,0.0971439476147248,0.387107023527223,0.7165247119095551,0.2603587879029297,0.11107751495831375,0.3994355857425582,-0.09097856957703626,0.2603587879029297,0.3994355857425582
4cb4ea247ef4,5.6652046733832995,3.864881891305066,0.7461279628526183,-0.40213214574863126,-1.1529031504783729,8.77791388778866,4.2272727272727275,2.8181818181818183,62241.25779929842,4.006687818755598,0.6697789801433344,-0.7047549961422074,-0.46299794148805296,58214.054234602205,4.181818181818182,2.5,0.37235572000381295,0.21279809085500365,0.5468598491573631,-0.0016313699778366165,0.3594914600389556,0.5204103267161725,0.24009547207087528,0.12399265435913262,0.33429064424132887,0.0005151750379350061,0.23967929481795403,0.3342611649388782
4da5c6be60db,4.3563323277400965,3.775133176523527,0.9313199759168218,0.13659310904256514,-1.730883988396739,6.107820393438427,4.954545454545455,2.6818181818181817,13737.960608211293,3.8671413823206127,0.7065232904225809,-0.16324646697069278,-0.8853447646170172,27494.03848501323,4.0,2.6818181818181817,0.4192000874612381,0.17196729528528207,0.5680127670054109,-0.040524909457630875,0.4192000874612381,0.5680127670054109,0.29167986998985534,0.12820431123015869,0.4116783614854089,-0.058755206829009164,0.29167986998985534,0.4116783614854089
4f1ab08988cc,17.463942345174527,3.843267588269724,0.9490840780724111,0.0455466180207584,-1.9152425325916473,32.637034503520006,2.909090909090909,2.909090909090909,88754.8340112247,3.850107435215397,0.6806359919831496,0.03752455369840707,-0.9442252829832469,132162.74330951346,3.8636363636363638,2.909090909090909,0.3439045337462103,0.2344555932233365,0.5302481579166162,3.463417915254563e-05,0.3387862256505059,0.5285439281019833,0.18959354458968194,0.12632182526662325,0.29356728331023796,4.640614824416578e-05,0.18517674945391985,0.29260194351831625
4fd8ad708fb0,4.766813830603092,3.80070383123024,0.8430435266164027,-0.1330894141001692,-1.4590520709604924,6.251924240615661,2.7272727272727275,2.7272727272727275,14260.07388095494,3.854967868632319,0.7114316072082241,-0.277187568763162,-0.8542121511301675,29107.172838466264,3.909090909090909,2.772727272727273,0.569056365399028,0.1606256461413361,0.7652415204699703,-0.18896802356830886,0.569056365399028,0.7652415204699703,0.2882258805417042,0.13110734467234963,0.4684987376716409,0.13113314356397401,0.2882258805417042,0.4684987376716409
52a5e2b280d4,26.199278510893034,3.5201404642928016,0.8887506285901245,5.692389291617561e-05,-1.910028790832691,45.24470310331048,2.6363636363636362,2.6363636363636362,55001.30017440815,3.8249713609188714,0.7915325059429441,-0.1639247826716248,-1.2363620431957425,56452.47815358798,3.5454545454545454,2.6363636363636362,0.3367715490886583,0.2284780588209496,0.5118961604664415,-5.340333438628534e-05,0.3348876059619232,0.5105031839261612,0.2863565885590758,0.18793154653472227,0.4310882503893811,-4.8869196731915476e-05,0.2826817285178251,0.4297911227137096
548aa830244c,15.801784643273809,3.29405661411223,0.7566661306378998,0.0178565343539916,-1.7144437990592536,24.813581498140152,2.4545454545454546,2.4545454545454546,83415.01963861073,3.515257892112469,0.749625008718643,0.058782161623589756,-1.2285611291570917,102334.9159196294,3.272727272727273,2.5,0.3749398278729122,0.26825362019118787,0.6216132182938802,-8.132370078876387e-05,0.3585701804200246,0.5896838065960267,0.3035779907024112,0.21402730127266906,0.47389044058586405,3.6539968275360137e-05,0.30037559332453717,0.4695017873467077
